Product Code,Name,Brand,Category Hierarchy,Stock,Price,Size,EAN,SKU
BP_101708631,Eau de parfum,Jean Paul Gaultier,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,74.0,30ML,8435415017237,101708631
BP_100312378,Eau de Toilette,Guerlain,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,83.99,30ML,3346470114722,100312378
BP_102155231,Eau de parfum,Nina Ricci,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,71.99,30ML,3137370357728,102155231
BP_101374183,Eau de Toilette,GIVENCHY,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,131.99,75ML,3274872369436,101374167
BP_102220194,Eau de parfum,GISADA,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,64.01,50ML,7640164030821,102220194
BP_100859120,L Eau de Parfum Ayurvedique,La Sultane de Saba,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,65.79,100ML,3700448601926,100859120
BP_102405332,Eau de parfum sans alcool,DIOR,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,90.99,30ML,3348901597722,102405421
BP_101825132,Rose N'Roses eau de toilette,DIOR,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,110.99,50ML,3348901507714,101825132
BP_101371097,Eau de Parfum,Armani,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,92.99,30ML,3614271994721,101371097
BP_101835517,La Vie est Belle Intens̩ment - Eau de Parfum Femme - Intense & Gourmande,Lanc̫me,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,96.99,30ML,3614272964662,101835517
BP_102399091,Eau de Parfum Femme Recharge,Lanc̫me,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,89.6,100ML,3614273749381,102399091
BP_100138779,Eau de Toilette,Yves Saint Laurent,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,85.99,30ML,3365440556423,100138779
BP_102609087,Coffret eau de toilette + lait pour le corps,Nina Ricci,Id̩es Cadeaux/Coffrets Parfum/Coffret Parfum Femme/undefined,inStock,91.99,,3137370359845,102609087
BP_102614169,Eau de parfum - rechargeable,Prada,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,113.99,30ML,3614273961738,102614169
BP_102165148,Eau de parfum rouge,GIVENCHY,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,84.99,35ML,3274872428034,102165148
BP_100014416,Eau de toilette,Herm̬s,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,114.99,50ML,3346138900094,100014416
BP_100025375,Eau de Parfum,Yves Saint Laurent,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,141.99,50ML,3365440002098,100025375
BP_100025378,Eau de Toilette,Yves Saint Laurent,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,133.99,75ML,3365440002173,100025378
BP_100132991,Eau de Parfum,Yves Saint Laurent,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,96.99,30ML,3365440556300,100132991
